sample,file1,file2,size
SRS403287,SRR576587_1.fastq,SRR576587_2.fastq,6529595992
SRS404442,SRR797705_1.fastq,SRR797705_2.fastq,2718991008
SRS404443,SRR797706_1.fastq,SRR797706_2.fastq,3011751168
SRS404444,SRR798879_1.fastq,SRR798879_2.fastq,2654019808
SRS404447,SRR798746_1.fastq,SRR798746_2.fastq,3286748128
SRS404448,SRR822510_1.fastq,SRR822510_2.fastq,4353449008
SRS404449,SRR798638_1.fastq,SRR798638_2.fastq,2157513728
SRS404451,SRR797714_1.fastq,SRR797714_2.fastq,2772983408
SRS404452,SRR798755_1.fastq,SRR798755_2.fastq,4958535168
SRS404454,SRR797763_1.fastq,SRR797763_2.fastq,2413673408
SRS404456,SRR822386_1.fastq,SRR822386_2.fastq,2423491328
SRS404457,SRR798654_1.fastq,SRR798654_2.fastq,2716771168
SRS404458,SRR797724_1.fastq,SRR797724_2.fastq,2366369088
SRS404460,SRR797773_1.fastq,SRR797773_2.fastq,2562783488
SRS404461,SRR797725_1.fastq,SRR797725_2.fastq,2641281488
SRS404462,SRR798691_1.fastq,SRR798691_2.fastq,3026431568
SRS404463,SRR798828_1.fastq,SRR798828_2.fastq,3960420288
SRS404466,SRR798983_1.fastq,SRR798983_2.fastq,2251289648
SRS404467,SRR822500_1.fastq,SRR822500_2.fastq,2601207328
SRS404468,SRR798652_1.fastq,SRR798652_2.fastq,2787185568
SRS404469,SRR799093_1.fastq,SRR799093_2.fastq,2673932288
SRS404470,SRR797748_1.fastq,SRR797748_2.fastq,2355531408
SRS404472,SRR798740_1.fastq,SRR798740_2.fastq,2938640368
SRS404473,SRR798701_1.fastq,SRR798701_2.fastq,3192568448
SRS404475,SRR835469_1.fastq,SRR835469_2.fastq,11784898416
SRS404477,SRR798240_1.fastq,SRR798240_2.fastq,2250608688
SRS404479,SRR798901_1.fastq,SRR798901_2.fastq,2787430288
SRS404480,SRR798883_1.fastq,SRR798883_2.fastq,2902933648
SRS404481,SRR797754_1.fastq,SRR797754_2.fastq,2493240448
SRS404484,SRR822917_1.fastq,SRR822917_2.fastq,2548680448
SRS404485,SRR798821_1.fastq,SRR798821_2.fastq,2666771008
SRS404486,SRR798702_1.fastq,SRR798702_2.fastq,2573889408
SRS404488,SRR797755_1.fastq,SRR797755_2.fastq,2202762288
SRS404489,SRR799094_1.fastq,SRR799094_2.fastq,2361242848
SRS404490,SRR799025_1.fastq,SRR799025_2.fastq,2339454928
SRS404491,SRR798152_1.fastq,SRR798152_2.fastq,2736245728
SRS404492,SRR825356_1.fastq,SRR825356_2.fastq,2612309888
SRS404493,SRR798642_1.fastq,SRR798642_2.fastq,2303626688
SRS404494,SRR797778_1.fastq,SRR797778_2.fastq,2537291168
SRS404495,SRR835462_1.fastq,SRR835462_2.fastq,10291183944
SRS404496,SRR797775_1.fastq,SRR797775_2.fastq,2912935808
SRS404498,SRR797791_1.fastq,SRR797791_2.fastq,2556759008
SRS404499,SRR798971_1.fastq,SRR798971_2.fastq,3020264288
SRS404501,SRR798798_1.fastq,SRR798798_2.fastq,2759790368
SRS404503,SRR822490_1.fastq,SRR822490_2.fastq,2360045568
SRS404505,SRR798875_1.fastq,SRR798875_2.fastq,2530624928
SRS404506,SRR822382_1.fastq,SRR822382_2.fastq,2642713968
SRS404507,SRR798910_1.fastq,SRR798910_2.fastq,3419019568
SRS404508,SRR797794_1.fastq,SRR797794_2.fastq,2517513088
SRS404511,SRR798639_1.fastq,SRR798639_2.fastq,2648030608
SRS404512,SRR797800_1.fastq,SRR797800_2.fastq,2448226528
SRS404513,SRR798790_1.fastq,SRR798790_2.fastq,3045064448
SRS404514,SRR798977_1.fastq,SRR798977_2.fastq,2676772608
SRS404516,SRR798127_1.fastq,SRR798127_2.fastq,2276363648
SRS404517,SRR822953_1.fastq,SRR822953_2.fastq,2747386368
SRS404518,SRR798164_1.fastq,SRR798164_2.fastq,2558989488
SRS404735,SRR798126_1.fastq,SRR798126_2.fastq,2963031728
SRS404739,SRR823393_1.fastq,SRR823393_2.fastq,2451443728
SRS404740,SRR798132_1.fastq,SRR798132_2.fastq,4112795168
SRS404741,SRR822339_1.fastq,SRR822339_2.fastq,3289970368
SRS404743,SRR798893_1.fastq,SRR798893_2.fastq,3639274288
SRS404745,SRR798196_1.fastq,SRR798196_2.fastq,2714331248
SRS404746,SRR798938_1.fastq,SRR798938_2.fastq,2947894368
SRS404750,SRR798153_1.fastq,SRR798153_2.fastq,4297552048
SRS404753,SRR822923_1.fastq,SRR822923_2.fastq,2569727488
SRS404755,SRR798162_1.fastq,SRR798162_2.fastq,3235046688
SRS404756,SRR825369_1.fastq,SRR825369_2.fastq,2486697408
SRS404759,SRR798915_1.fastq,SRR798915_2.fastq,2222857328
SRS404760,SRR822941_1.fastq,SRR822941_2.fastq,2497316128
SRS404761,SRR798176_1.fastq,SRR798176_2.fastq,1869059408
SRS404765,SRR798987_1.fastq,SRR798987_2.fastq,4210253648
SRS404766,SRR798592_1.fastq,SRR798592_2.fastq,2505434448
SRS404772,SRR822492_1.fastq,SRR822492_2.fastq,2304248848
SRS404773,SRR798197_1.fastq,SRR798197_2.fastq,2618891568
SRS404775,SRR823388_1.fastq,SRR823388_2.fastq,2508374448
SRS404777,SRR798216_1.fastq,SRR798216_2.fastq,2299034688
SRS404778,SRR835464_1.fastq,SRR835464_2.fastq,8902483016
SRS404779,SRR798878_1.fastq,SRR798878_2.fastq,2869844368
SRS404780,SRR822491_1.fastq,SRR822491_2.fastq,2095312288
SRS404781,SRR798968_1.fastq,SRR798968_2.fastq,3095930368
SRS404782,SRR825373_1.fastq,SRR825373_2.fastq,2245166608
SRS404783,SRR798599_1.fastq,SRR798599_2.fastq,2229946928
SRS404784,SRR798225_1.fastq,SRR798225_2.fastq,2941111648
SRS404785,SRR799005_1.fastq,SRR799005_2.fastq,2608631248
SRS404786,SRR798959_1.fastq,SRR798959_2.fastq,2334148368
SRS404788,SRR798230_1.fastq,SRR798230_2.fastq,2473257968
SRS404789,SRR822898_1.fastq,SRR822898_2.fastq,2665811728
SRS404791,SRR799052_1.fastq,SRR799052_2.fastq,2284133088
SRS404792,SRR798253_1.fastq,SRR798253_2.fastq,2333862208
SRS404793,SRR798748_1.fastq,SRR798748_2.fastq,2224582688
SRS404794,SRR822943_1.fastq,SRR822943_2.fastq,2591217488
SRS404795,SRR822887_1.fastq,SRR822887_2.fastq,2681255408
SRS404797,SRR798276_1.fastq,SRR798276_2.fastq,2419921328
SRS404800,SRR798949_1.fastq,SRR798949_2.fastq,2973576528
SRS404803,SRR798269_1.fastq,SRR798269_2.fastq,2669138688
SRS404805,SRR823571_1.fastq,SRR823571_2.fastq,3035408928
SRS404807,SRR798602_1.fastq,SRR798602_2.fastq,2697307248
SRS404808,SRR798772_1.fastq,SRR798772_2.fastq,2764875728
SRS404809,SRR798911_1.fastq,SRR798911_2.fastq,2236866848
SRS404810,SRR823395_1.fastq,SRR823395_2.fastq,2498345968
SRS404812,SRR822495_1.fastq,SRR822495_2.fastq,2393925568
SRS404813,SRR822906_1.fastq,SRR822906_2.fastq,2460083408
SRS405098,SRR798597_1.fastq,SRR798597_2.fastq,3074284688
SRS405099,SRR798758_1.fastq,SRR798758_2.fastq,2567518848
SRS405101,SRR798855_1.fastq,SRR798855_2.fastq,2375540208
SRS405102,SRR798940_1.fastq,SRR798940_2.fastq,2148447888
SRS405107,SRR798633_1.fastq,SRR798633_2.fastq,2158663408
SRS405109,SRR798986_1.fastq,SRR798986_2.fastq,2514163168
SRS405110,SRR798960_1.fastq,SRR798960_2.fastq,2132797568
SRS405111,SRR798700_1.fastq,SRR798700_2.fastq,2188682768
SRS405113,SRR798659_1.fastq,SRR798659_2.fastq,2390375728
SRS405114,SRR799024_1.fastq,SRR799024_2.fastq,2603225008
SRS405116,SRR799056_1.fastq,SRR799056_2.fastq,2639772848
SRS405118,SRR799015_1.fastq,SRR799015_2.fastq,2379495488
SRS405119,SRR798795_1.fastq,SRR798795_2.fastq,2390838288
SRS405120,SRR798694_1.fastq,SRR798694_2.fastq,2945130208
SRS405121,SRR799058_1.fastq,SRR799058_2.fastq,2649542608
SRS405122,SRR798717_1.fastq,SRR798717_2.fastq,2430948848
SRS405123,SRR798714_1.fastq,SRR798714_2.fastq,2871312688
SRS405124,SRR825333_1.fastq,SRR825333_2.fastq,2526175168
SRS405126,SRR799034_1.fastq,SRR799034_2.fastq,2473874528
SRS405127,SRR798862_1.fastq,SRR798862_2.fastq,2196876128
SRS405128,SRR798849_1.fastq,SRR798849_2.fastq,2760187968
SRS405129,SRR798743_1.fastq,SRR798743_2.fastq,2690889648
SRS405130,SRR798752_1.fastq,SRR798752_2.fastq,2222687648
SRS405132,SRR798768_1.fastq,SRR798768_2.fastq,2259897968
SRS405133,SRR798777_1.fastq,SRR798777_2.fastq,2471236368
SRS405134,SRR798775_1.fastq,SRR798775_2.fastq,2596062608
SRS405135,SRR798780_1.fastq,SRR798780_2.fastq,2453950288
SRS405136,SRR798803_1.fastq,SRR798803_2.fastq,2874463808
SRS405137,SRR798807_1.fastq,SRR798807_2.fastq,2515404128
SRS405139,SRR798833_1.fastq,SRR798833_2.fastq,2540159488
SRS405141,SRR798997_1.fastq,SRR798997_2.fastq,2395276848
SRS405142,SRR798988_1.fastq,SRR798988_2.fastq,2293158608
SRS405144,SRR798989_1.fastq,SRR798989_2.fastq,2416981328
SRS405145,SRR798948_1.fastq,SRR798948_2.fastq,2536297168
SRS405146,SRR799026_1.fastq,SRR799026_2.fastq,2312691408
SRS405147,SRR798934_1.fastq,SRR798934_2.fastq,2462329008
SRS405148,SRR798967_1.fastq,SRR798967_2.fastq,2585560368
SRS405149,SRR799007_1.fastq,SRR799007_2.fastq,2371854288
SRS405151,SRR799053_1.fastq,SRR799053_2.fastq,2785087808
SRS409058,SRR576302_1.fastq,SRR576302_2.fastq,5687069096
SRS409059,SRR576323_1.fastq,SRR576323_2.fastq,7214469376
SRS409060,SRR576306_1.fastq,SRR576306_2.fastq,5277242928
SRS409061,SRR576317_1.fastq,SRR576317_2.fastq,7845966664
SRS409062,SRR576303_1.fastq,SRR576303_2.fastq,9411721712
SRS409063,SRR642859_1.fastq,SRR642859_2.fastq,4282046768
SRS409064,SRR647793_1.fastq,SRR647793_2.fastq,4234054768
SRS409065,SRR576318_1.fastq,SRR576318_2.fastq,6687285288
SRS409066,SRR576319_1.fastq,SRR576319_2.fastq,8233668128
SRS409067,SRR642857_1.fastq,SRR642857_2.fastq,5242988848
SRS409074,SRR576310_1.fastq,SRR576310_2.fastq,9235281600
SRS409075,SRR588299_1.fastq,SRR588299_2.fastq,8383319088
SRS409076,SRR576309_1.fastq,SRR576309_2.fastq,7937656064
SRS409112,SRR576308_1.fastq,SRR576308_2.fastq,8063536224
SRS409113,SRR642863_1.fastq,SRR642863_2.fastq,5136691888
SRS409175,SRR642854_1.fastq,SRR642854_2.fastq,5202239888
SRS409176,SRR642848_1.fastq,SRR642848_2.fastq,5459292768
SRS409177,SRR647798_1.fastq,SRR647798_2.fastq,4177251728
SRS409478,SRR642855_1.fastq,SRR642855_2.fastq,4482529008
SRS409479,SRR576301_1.fastq,SRR576301_2.fastq,7136796512
SRS409482,SRR576314_1.fastq,SRR576314_2.fastq,5492384848
SRS409483,SRR576539_1.fastq,SRR576539_2.fastq,5827557648
SRS409781,SRR642847_1.fastq,SRR642847_2.fastq,8186010088
SRS417571,SRR836537_1.fastq,SRR836537_2.fastq,1398266848
SRS417572,SRR836540_1.fastq,SRR836540_2.fastq,1365777328
SRS417573,SRR836548_1.fastq,SRR836548_2.fastq,1111683488
SRS417575,SRR836561_1.fastq,SRR836561_2.fastq,1117200608
SRS417576,SRR836565_1.fastq,SRR836565_2.fastq,1403147248
SRS417577,SRR836578_1.fastq,SRR836578_2.fastq,4242848448
SRS417578,SRR836581_1.fastq,SRR836581_2.fastq,1351251488
SRS417579,SRR836594_1.fastq,SRR836594_2.fastq,1364655088
SRS417581,SRR836601_1.fastq,SRR836601_2.fastq,1361183088
SRS417582,SRR836605_1.fastq,SRR836605_2.fastq,1393411648
SRS417583,SRR836556_1.fastq,SRR836556_2.fastq,1298885328
SRS417585,SRR842033_1.fastq,SRR842033_2.fastq,1306270608
SRS417586,SRR841969_1.fastq,SRR841969_2.fastq,1233206848
SRS417587,SRR836616_1.fastq,SRR836616_2.fastq,1651985488
SRS417588,SRR836622_1.fastq,SRR836622_2.fastq,1472745728
SRS417590,SRR836633_1.fastq,SRR836633_2.fastq,1356150928
SRS417591,SRR836637_1.fastq,SRR836637_2.fastq,1340982208
SRS417593,SRR836645_1.fastq,SRR836645_2.fastq,1182076048
SRS417594,SRR836648_1.fastq,SRR836648_2.fastq,1361179168
SRS417595,SRR836662_1.fastq,SRR836662_2.fastq,1453566848
SRS417596,SRR836668_1.fastq,SRR836668_2.fastq,1325699808
SRS417597,SRR842036_1.fastq,SRR842036_2.fastq,1273820288
SRS417599,SRR836672_1.fastq,SRR836672_2.fastq,1507044608
SRS417600,SRR836680_1.fastq,SRR836680_2.fastq,1338141888
SRS417601,SRR836687_1.fastq,SRR836687_2.fastq,1123061008
SRS417603,SRR836656_1.fastq,SRR836656_2.fastq,1153634208
SRS417604,SRR836694_1.fastq,SRR836694_2.fastq,1394387168
SRS417605,SRR836696_1.fastq,SRR836696_2.fastq,4004888208
SRS417606,SRR836705_1.fastq,SRR836705_2.fastq,2865926048
SRS417607,SRR836713_1.fastq,SRR836713_2.fastq,3778952288
SRS417609,SRR836733_1.fastq,SRR836733_2.fastq,3221210768
SRS417611,SRR836756_1.fastq,SRR836756_2.fastq,8795727416
SRS417612,SRR836769_1.fastq,SRR836769_2.fastq,3700041008
SRS417614,SRR836776_1.fastq,SRR836776_2.fastq,10848010816
SRS417615,SRR836791_1.fastq,SRR836791_2.fastq,12401508424
SRS417616,SRR836801_1.fastq,SRR836801_2.fastq,9385195544
SRS417618,SRR836812_1.fastq,SRR836812_2.fastq,1456107568
SRS417619,SRR836816_1.fastq,SRR836816_2.fastq,1393361808
SRS417620,SRR836819_1.fastq,SRR836819_2.fastq,1612035648
SRS417622,SRR836826_1.fastq,SRR836826_2.fastq,1232767248
SRS417624,SRR842054_1.fastq,SRR842054_2.fastq,1298939088
SRS417625,SRR836841_1.fastq,SRR836841_2.fastq,1478751728
SRS417635,SRR836854_1.fastq,SRR836854_2.fastq,1242357248
SRS417636,SRR836863_1.fastq,SRR836863_2.fastq,1602404768
SRS417637,SRR836874_1.fastq,SRR836874_2.fastq,1432254368
SRS417639,SRR836881_1.fastq,SRR836881_2.fastq,3416169728
SRS417641,SRR836889_1.fastq,SRR836889_2.fastq,1507570448
SRS417642,SRR836893_1.fastq,SRR836893_2.fastq,1302365728
SRS417643,SRR836899_1.fastq,SRR836899_2.fastq,1436474528
SRS417644,SRR836910_1.fastq,SRR836910_2.fastq,3529696288
SRS417647,SRR836912_1.fastq,SRR836912_2.fastq,1268032128
SRS417650,SRR836926_1.fastq,SRR836926_2.fastq,3706082848
SRS417651,SRR837383_1.fastq,SRR837383_2.fastq,4365537168
SRS417652,SRR836943_1.fastq,SRR836943_2.fastq,1259818048
SRS417653,SRR842065_1.fastq,SRR842065_2.fastq,1194699008
SRS417654,SRR836950_1.fastq,SRR836950_2.fastq,1364113568
SRS417655,SRR836963_1.fastq,SRR836963_2.fastq,2723067248
SRS417656,SRR836969_1.fastq,SRR836969_2.fastq,3131864448
SRS417657,SRR836975_1.fastq,SRR836975_2.fastq,1523033728
SRS417658,SRR842062_1.fastq,SRR842062_2.fastq,1267086288
SRS417659,SRR836984_1.fastq,SRR836984_2.fastq,1596510208
SRS417661,SRR836994_1.fastq,SRR836994_2.fastq,3154503008
SRS417662,SRR836988_1.fastq,SRR836988_2.fastq,1383803728
SRS417665,SRR837022_1.fastq,SRR837022_2.fastq,4582089168
SRS417667,SRR837043_1.fastq,SRR837043_2.fastq,3193581488
SRS417668,SRR837053_1.fastq,SRR837053_2.fastq,10406812272
SRS417669,SRR837068_1.fastq,SRR837068_2.fastq,7976284608
SRS417675,SRR837078_1.fastq,SRR837078_2.fastq,2392582128
SRS417676,SRR842068_1.fastq,SRR842068_2.fastq,1210004368
SRS417678,SRR837092_1.fastq,SRR837092_2.fastq,1210360528
SRS417680,SRR837100_1.fastq,SRR837100_2.fastq,1504109648
SRS429660,SRR868750_1.fastq,SRR868750_2.fastq,4751644848
SRS502193,SRR1029547_1.fastq,SRR1029547_2.fastq,2510423592
SRS520130,SRR1063293_1.fastq,SRR1063293_2.fastq,2204124780
SRS520173,SRR1063255_1.fastq,SRR1063255_2.fastq,2253736476
SRS520174,SRR1063258_1.fastq,SRR1063258_2.fastq,2371955952
SRS520177,SRR1063263_1.fastq,SRR1063263_2.fastq,17558891040
SRS520178,SRR1063264_1.fastq,SRR1063264_2.fastq,16565807520
SRS520179,SRR1063267_1.fastq,SRR1063267_2.fastq,16961312344
SRS520180,SRR1063268_1.fastq,SRR1063268_2.fastq,17175470288
SRS520181,SRR1063273_1.fastq,SRR1063273_2.fastq,3370698996
SRS520182,SRR1063283_1.fastq,SRR1063283_2.fastq,2593937328
SRS520184,SRR1063285_1.fastq,SRR1063285_2.fastq,15297874568
SRS520185,SRR1063287_1.fastq,SRR1063287_2.fastq,14396746340
SRS523961,SRR798770_1.fastq,SRR798770_2.fastq,24846959264
SRS881140,SRR1942898_1.fastq,SRR1942898_2.fastq,1762366704
SRS881142,SRR1943072_1.fastq,SRR1943072_2.fastq,1164330432
SRS881143,SRR1925884_1.fastq,SRR1925884_2.fastq,1576118676
SRS881147,SRR1942904_1.fastq,SRR1942904_2.fastq,1437667392
SRS881148,SRR1943062_1.fastq,SRR1943062_2.fastq,1361009076
SRS881149,SRR1943127_1.fastq,SRR1943127_2.fastq,1504150020
SRS881150,SRR1944836_1.fastq,SRR1944836_2.fastq,1492073088
SRS881151,SRR1943068_1.fastq,SRR1943068_2.fastq,1102336680
SRS881152,SRR1944759_1.fastq,SRR1944759_2.fastq,1132573848
SRS881155,SRR1925895_1.fastq,SRR1925895_2.fastq,1491343836
SRS881156,SRR1926014_1.fastq,SRR1926014_2.fastq,1331673744
SRS881157,SRR1944760_1.fastq,SRR1944760_2.fastq,1281679656
SRS881158,SRR1942986_1.fastq,SRR1942986_2.fastq,11263834844
SRS881159,SRR1925899_1.fastq,SRR1925899_2.fastq,1164611304
SRS881160,SRR1942906_1.fastq,SRR1942906_2.fastq,1202683560
SRS881161,SRR1944755_1.fastq,SRR1944755_2.fastq,1015392132
SRS881162,SRR1925991_1.fastq,SRR1925991_2.fastq,1307377188
SRS881164,SRR1944744_1.fastq,SRR1944744_2.fastq,1237411296
SRS881165,SRR1925910_1.fastq,SRR1925910_2.fastq,1434395628
SRS881166,SRR1925908_1.fastq,SRR1925908_2.fastq,1102038324
SRS881168,SRR1943111_1.fastq,SRR1943111_2.fastq,8634103168
SRS881169,SRR1942982_1.fastq,SRR1942982_2.fastq,1353491520
SRS881170,SRR1925911_1.fastq,SRR1925911_2.fastq,1506860040
SRS881171,SRR1942885_1.fastq,SRR1942885_2.fastq,1367175288
SRS881172,SRR1942996_1.fastq,SRR1942996_2.fastq,1312789332
SRS881173,SRR1943009_1.fastq,SRR1943009_2.fastq,1776938772
SRS881174,SRR1943015_1.fastq,SRR1943015_2.fastq,1525983024
SRS881175,SRR1944751_1.fastq,SRR1944751_2.fastq,1054790352
SRS881176,SRR1926070_1.fastq,SRR1926070_2.fastq,1216030056
SRS881177,SRR1925925_1.fastq,SRR1925925_2.fastq,1341119052
SRS881178,SRR1926071_1.fastq,SRR1926071_2.fastq,1322840376
SRS881179,SRR1925922_1.fastq,SRR1925922_2.fastq,1637669124
SRS881180,SRR1944730_1.fastq,SRR1944730_2.fastq,1443636204
SRS881181,SRR1925924_1.fastq,SRR1925924_2.fastq,1427527236
SRS881183,SRR1926016_1.fastq,SRR1926016_2.fastq,1368785508
SRS881184,SRR1942977_1.fastq,SRR1942977_2.fastq,1553727876
SRS881185,SRR1944777_1.fastq,SRR1944777_2.fastq,710917296
SRS881188,SRR1925937_1.fastq,SRR1925937_2.fastq,1232763372
SRS881189,SRR1925974_1.fastq,SRR1925974_2.fastq,1366892160
SRS881191,SRR1944749_1.fastq,SRR1944749_2.fastq,1604166960
SRS881193,SRR1926003_1.fastq,SRR1926003_2.fastq,1489457256
SRS881194,SRR1944796_1.fastq,SRR1944796_2.fastq,1402081812
SRS881196,SRR1944762_1.fastq,SRR1944762_2.fastq,1583232408
SRS881197,SRR1942924_1.fastq,SRR1942924_2.fastq,1122651396
SRS881198,SRR1925978_1.fastq,SRR1925978_2.fastq,1316497632
SRS881199,SRR1943116_1.fastq,SRR1943116_2.fastq,1418547792
SRS881200,SRR1943089_1.fastq,SRR1943089_2.fastq,1347662016
SRS881201,SRR1925984_1.fastq,SRR1925984_2.fastq,1239725388
SRS881202,SRR1926079_1.fastq,SRR1926079_2.fastq,1347633252
SRS881203,SRR1943108_1.fastq,SRR1943108_2.fastq,1659292320
SRS881204,SRR1943064_1.fastq,SRR1943064_2.fastq,1406440404
SRS881205,SRR1925985_1.fastq,SRR1925985_2.fastq,1381693212
SRS881206,SRR1926081_1.fastq,SRR1926081_2.fastq,1619173308
SRS881207,SRR1942886_1.fastq,SRR1942886_2.fastq,1495485288
SRS881208,SRR1926080_1.fastq,SRR1926080_2.fastq,1446679548
SRS881210,SRR1926084_1.fastq,SRR1926084_2.fastq,1037713560
SRS881211,SRR1926002_1.fastq,SRR1926002_2.fastq,1015620552
SRS881212,SRR1926050_1.fastq,SRR1926050_2.fastq,1411204512
SRS881213,SRR1943115_1.fastq,SRR1943115_2.fastq,10443423824
SRS881214,SRR1926021_1.fastq,SRR1926021_2.fastq,1477938684
SRS881215,SRR1926022_1.fastq,SRR1926022_2.fastq,1518574320
SRS881216,SRR1944825_1.fastq,SRR1944825_2.fastq,1409958072
SRS881217,SRR1926010_1.fastq,SRR1926010_2.fastq,9760188128
SRS881218,SRR1942941_1.fastq,SRR1942941_2.fastq,11348272912
SRS881219,SRR1926005_1.fastq,SRR1926005_2.fastq,1364487828
SRS881220,SRR1944795_1.fastq,SRR1944795_2.fastq,1402676268
SRS881221,SRR1926087_1.fastq,SRR1926087_2.fastq,1468404264
SRS881222,SRR1944815_1.fastq,SRR1944815_2.fastq,1503406668
SRS881223,SRR1926024_1.fastq,SRR1926024_2.fastq,1287367596
SRS881224,SRR1926019_1.fastq,SRR1926019_2.fastq,1555573848
SRS881225,SRR1926020_1.fastq,SRR1926020_2.fastq,1247719524
SRS881226,SRR1926011_1.fastq,SRR1926011_2.fastq,1249423932
SRS881227,SRR1943063_1.fastq,SRR1943063_2.fastq,1458460380
SRS881228,SRR1926029_1.fastq,SRR1926029_2.fastq,1314333000
SRS881229,SRR1944790_1.fastq,SRR1944790_2.fastq,1628288676
SRS881232,SRR1931691_1.fastq,SRR1931691_2.fastq,11332654452
SRS881233,SRR1926037_1.fastq,SRR1926037_2.fastq,1487456748
SRS881234,SRR1942912_1.fastq,SRR1942912_2.fastq,1484482212
SRS881235,SRR1926045_1.fastq,SRR1926045_2.fastq,1530493896
